label,pmid,sentence,design
0,15859940,"In the literature, the most-frequent cause of hemolytic uremic syndrome in patients following renal transplantation is recurrence of the hemolytic uremic syndrome.",Retrospective
0,22841431,"In this experimental model, the antiseptic pomade was effective in reducing bacterial colonization on silk braided sutures.",RCT
2,29423177,"In this population, LBW infants are at a risk of delayed and incomplete immunization and therefore need attention.",RCT
0,23045543,"In this randomized trial of patient navigation, there was no statistically significant effect on disease-specific QOL.",RCT
0,23417631,In this study hyperarousal correlated significantly with suicidal ideation.,Cross-Sectional
0,23046566,"In this study, the effectiveness of JUC in preventing CAUTI in a hospital setting was demonstrated in both in vitro and clinical studies.",RCT
0,23045213,"In this trial, the use of fresh RBCs compared with standard blood bank practice did not improve outcomes in premature, very low-birth-weight infants requiring a transfusion.",RCT
0,29462388,"In this well-controlled study of NOD2 genotype and fecal microbiota, we identified no significant genotype-microbiota associations.",Case-Control
0,24569578,"In young myopic OAG eyes, there is no significant nocturnal elevation in habitual-position IOP, while IOP increases at night-time in age-matched control eyes.",Prospective
0,22160847,Inaccurate BP assessment is common and may impact hypertension treatment decisions.,RCT
0,23372273,Incorporating a surrogate arousal measure into HRP did not substantially increase its agreement with PSG when compared with the usual procedure (HRP without surrogate arousal).,RCT
0,23410746,"Increased AOPP levels and higher PAB values are likely to be a result of oxidative stress, a condition in which an imbalance occurs between the production and inactivation of reactive oxygen species.",Case-Control
0,26047939,Increased IR estimated by HOMA-IR was significantly associated with a higher remodeling index and positive coronary artery remodeling.,Retrospective
0,29623847,Increased tADA level and the frequency of DRB1*10 and *01 caused susceptibility to RA.,Cross-Sectional
1,24460292,"Increasing awareness about breast cancer, early detection methods, and the advantages of early diagnoses among women, and their families, as well as health care workers offering social support, could help to increase participation over the entire screening process in India.",RCT
0,27033049,"Increasing esophageal diameter on HRCT in patients with SSc is associated with more severe radiographic ILD, lower lung volumes, and lower DLCO % predicted.",Cross-Sectional
1,27785010,"IND/GLY demonstrated superior efficacy and comparable safety compared with its monocomponents, open-label TIO, and placebo and may be used as a treatment option for the management of moderate-to-severe COPD in Japanese patients.",RCT
2,24481031,"Individually, EBUS-TBNA has the highest diagnostic yield in sarcoidosis, but it should be combined with TBLB for the optimal yield.",RCT
0,17563030,Individuals at high cardiovascular risk who improved their diet toward a TMD pattern showed significant reductions in cellular lipid levels and LDL oxidation.,RCT
2,22540248,Indwelling catheterization is recommended as the standard method for bladder drainage in laboring women with epidural.,RCT
1,26607061,Infant massage could help to reduce bilirubin levels and increase defecation frequency in neonates receiving phototherapy for jaundice.,RCT
0,20159209,"Information on the effectiveness of using a self-help book, without therapist assistance, in alleviating distress is important, as bibliotherapy can provide inexpensive treatment that is not bound by time or place.",RCT
2,25976567,Infusion sets containing di(2-ethylhexyl) phthalate should not be used with warming devices in order to avoid toxic effects.,RCT
2,29122262,"Inhalation aromatherapy with geranium essential oil is recommended as an easy-to-use, intervention to reduce anxiety among patients with AMI.",RCT
2,16857301,Instructional strategies need to account for the presence of mathematical and computer anxiety when planning an educational program to develop competency in dosage calculations.,RCT
1,17227394,"Interactive multiple choice tests may provide an alternative to written tests, especially when considering time expenditure.",RCT
0,24964217,Intermittent perirenal instillation of bupivacaine via the nephrostomy tract after PCNL decreases the need for more systemic narcotics and provides acceptable analgesia in the postoperative period.,RCT
0,15658965,"Internet use for general parenting issues in Sweden, mainly by women, does not seem to follow the digital divide phenomenon.",Cross-Sectional
0,22982082,Internet-delivered self-help parenting programs appear to make a valuable contribution to a comprehensive public health approach to parenting support.,RCT
2,18679411,Interventions aimed at weight control should also try to maintain or improve nutritional status.,RCT
2,25668645,"Interventions to reduce HIV/STD incidence among adolescents in South Africa should address the risk associated with sex, unprotected sex, intimate partner violence, and multiple partnerships.",RCT
1,26694209,Intraoperative prophylactic tranexemic acid use is a simple and economical option for effectively reducing staple line bleeds leading to significant decrease in operating times.,RCT
1,16225490,Intravenous esomeprazole is an acceptable alternative to the oral formulation for treatment of up to 10 days of duration.,RCT
1,19826393,Intravitreal injections of bevacizumab seem to reduce NVI and IOP in NVG and may be considered as an adjunct to more definitive surgical procedures for NVG.,RCT
0,19653956,Introducing free GP visits for under-25 year olds living in rural and lower socioeconomic areas in New Zealand was associated with a significant increase in testing and detection for C. trachomatis in the target age group.,Retrospective
0,21224820,Ischemic brain lesions are frequently observed in CABG surgery patients but are neither associated with clinically relevant neurological complications nor with ECC set-up and intraoperative heparin dosage.,RCT
2,25245542,It appears that abdominoplasty in post-bariatric patients requires specific care because of particularities inherent in this population.,Retrospective
0,23045243,It appears that knees with more severe coexisting PF disease demonstrate features distinct from those observed in TFOA in isolation or in combination with mild PF disease.,RCT
1,18027336,It appears that surgical resection of malignant lung tumours by lobectomy can also be performed successfully in selected patients with low FEV (1) and COPD II degrees without significant loss of pulmonary function.,Retrospective
1,18299927,"It could be considered to recommend compliant patients to ""switch off"" the pacemaker during the night to extend the lifetime of the pacemaker.",RCT
1,19861194,"IT dexamethasone might be a good primary treatment method for ISSHL; but, for the management of ISSHL, we should keep in mind the differences in hearing outcomes with regard to frequency.",RCT
1,18096070,It is concluded that oral NaAcetate could be used as both an alkalinizing agent and an alternative energy source in the horse.,RCT
1,23949035,It is feasible to combine tDCS targeting the LE motor cortex with our novel locomotor training.,RCT
1,15890396,It is important for health care providers to identify patients who will require extra encouragement to seek timely medical care and to follow through with treatment recommendations.,Case-Control
1,23229158,It is important for researchers and practitioners to focus on increasing behavioral strategies for physical activity adoption.,RCT
1,8629748,It is important to avoid the unnecessary hospitalization of patients with CAP.,Prospective
1,21332653,It is important to consider both pharmacokinetics and pharmacogenetics in optimizing gemcitabine accumulation.,RCT
0,25529948,"It is significantly superior for 3D-EAUS to detect the internal opening, fistula classification and identification of a second track in complex anal fistulas as compared to conventional examination.",RCT
0,22367126,It is suggested by the apparently concomitant trigeminal nerve dysfunction and hypogeusia in patients with functional anosmia in this study that olfactory and nasal trigeminal function in young patients was clearly decreased.,Case-Control
1,21594217,"It may not be necessary to provide postoperative antibiotics in patients undergoing dental implant placement, however, these preliminary findings need to be confirmed by large multicentre clinical trials.",RCT
1,21706245,It seems reasonable to use ketoprofen first in need of rapid fever reduction.,RCT
1,26329838,"It, therefore, demonstrated that SRC can be used as a type of activity to maintain and/or improve physical fitness in sedentary adults.",RCT
0,23046599,IVIg therapy after ST elevation MI managed by primary PCI does not affect LV remodeling or function.,RCT
1,28511688,"Key determinants of adherence included SES, ethnicity, occupation (farmer) and parity which may be helpful for targeting women for counseling on supplement adherence.",RCT
0,30149476,Knowledge of molecular factors is necessary.,RCT
0,20713478,L. reuteri DSM 17 938 at a dose of 10(8) colony-forming units per day in early breastfed infants improved symptoms of infantile colic and was well tolerated and safe.,RCT
1,23420916,Laboratory criteria can be used to identify children with knee monoarthritis at low risk for septic arthritis who may not require diagnostic arthrocentesis.,RCT
0,27022792,"Laboratory investigations would offer doctors more information, which translates to enhanced patient care if investigation results are mandatorily accompanied by a laboratory report.",Cross-Sectional
0,27836084,"Lack of reliable transportation was reported as a significant barrier to accessing care during pregnancy, delivery, and postpartum by women in Bangladesh and Burkina Faso.",Cross-Sectional
1,23573882,Laparoscopic adrenalectomy is a viable treatment option for removal of benign adrenal lesions that can be performed safely and effectively by either the transperitoneal or retroperitoneal approach.,RCT
2,18462280,"Laparoscopic cholecystectomy patients in both groups recover equally well, indicating that a greater proportion of LC patients should be offered the outpatient modality.",RCT
1,29663316,Laparoscopic lavage is a better option for perforated diverticulitis with purulent peritonitis than open resection and colostomy.,RCT
1,27334961,Laparoscopic surgery can be conducted safely in selected patients with penetrating CD without increasing the risk of postoperative complications.,Case-Control
0,26369371,Larger ventricles at initial screening are associated with an increased need for shunting among those undergoing fetal surgery for myelomeningocele.,RCT
1,16735934,Lasofoxifene may be an effective and well-tolerated treatment option for the prevention of bone loss in postmenopausal women.,RCT
1,20408345,Latex SLIT can be used as an effective treatment for latex-allergic health care patients having difficulties in applying adequate avoidance measures.,RCT
2,24411534,"LDL-C should be measured by direct homogeneous assay in routine clinical laboratories, as the calculated methods did not have a uniform performance for LDL-C estimation at different TG levels.",Cross-Sectional
1,19888483,Levobupivacaine is a valid alternative to traditional local anesthetics for surgical removal of lower third molars.,RCT
1,24668575,"Levobupivacaine with opioid co-administration can be used in doses considerably lower than doses proposed for routine use as it is a safe drug depending on its hemodynamic effects, side effects.",RCT
1,23363386,"Levothyroxine administration with breakfast could be an alternative regimen for patients who have adherence difficulties due to the need for delaying intake, and is more likely to cause variability in the TSH level, meaning the patient should be followed more closely.",RCT
1,25147364,Lidocaine may be helpful in decreasing ischaemic pain in patients with critical limb ischaemia.,RCT
1,20227056,Linezolid is an effective alternative to vancomycin for the treatment of cSSTI caused by MRSA.,RCT
0,19317822,Liraglutide added to glimepiride was well tolerated and provided improved glycaemic control and favourable weight profile.,RCT
0,21251653,LMWH plus LDA was successfully used as an alternative to UFH plus LDA in the management of recurrent abortion secondary to APS.,RCT
0,18312323,Long-term intermittent treatment of facial AD in children and adolescents with pimecrolimus cream 1% does significantly reduce the need for topical corticosteroids.,RCT
0,22805543,Longitudinal strain curves in the RV free wall reach peak values later in the cardiac cycle and return slower towards the baseline in PHT.,RCT
0,25622597,Low Hb level at birth was significantly associated with mortality and receiving blood transfusion in preterm infants born at \xe2\x89\xa432 weeks gestation.,Retrospective
1,21829926,"Low predictability sentences predominated in the protocol for assessment of speech intelligibility used in this study, suggesting that these sentences can be used reliably for assessing intelligibility.",RCT
0,18761268,"Low ranges of CAC are frequently detectable in CSX patients, and the results are age-related and independent of impaired early indexes of functional and structural vascular remodeling.",Case-Control
1,18698545,"Low-dose atorvastatin does not have a significant influence on cooling down inflammation in ACS, and MCP-1 can be used as an early indicator of statin anti-inflammatory activity.",RCT
1,23557627,"Low-dose hydrocortisone may be a promising approach to the prevention of PTSD in acutely injured trauma patients, and may be particularly efficacious in acutely injured trauma victims without a history of significant psychopathology.",RCT
0,21239366,"Low-intensity ORLA, delivered by computer to individuals with chronic nonfluent aphasia, is efficacious and may be equivalent to ORLA delivered by an SLP.",RCT
1,23470301,"Low-volume HIT provides an alternative to the current, more time-intensive prescription for cardiac rehabilitation.",RCT
1,26260555,lower extremity muscles endurance exercise followed by a cardiorespiratory endurance exercise can be used to increase physical fitness in ID patients with obesity.,RCT
0,23046593,LTA has a lower risk of brain embolization because of the lower number of catheter exchange maneuvers.,RCT
1,18298872,Lumbar plexus infusion is a reasonable alternative to epidural anaesthesia for total knee arthroplasty.,RCT
2,21382893,"LV leads positioned in the apical region were associated with an unfavorable outcome, suggesting that this lead location should be avoided in cardiac resynchronization therapy.",RCT
2,18672591,Malnutrition status in priests admitted to the Priest Hospital should be concerned and be properly managed for improved clinical outcome.,Prospective
0,24983746,"Many of these safety findings can be attributed to \xce\xb3-secretase inhibition, and may be valuable to researchers developing \xce\xb3-secretase inhibitors.",RCT
1,27479337,Maxillary three-implant overdentures are a viable treatment option for edentulous patients wearing opposing mandibular two-implant overdentures.,RCT
1,19436232,Measurement of plasma levels of D-dimer on the admission is an accurate method for the identification of patients who will develop OF in the further course of AP.,Prospective
1,21301698,Measuring steps per day may be a feasible and more effective way to screen for physically inactive patients than self report.,RCT
1,19304565,Mechanical chest percussion may be a safe intervention for nurses to use on neurologically injured patients who are at risk for intracranial hypertension.,RCT
1,20456191,"Menthol solution can be an efficacious, safe and tolerable therapeutic option for the abortive treatment of migraine.",RCT
1,22840826,"Mentoring can be an effective way to benefit mood and healthy coping after TBI, and it can help to prevent maladaptive behaviors, such as substance abuse and behavioral dyscontrol, in the living situation.",RCT
2,17312063,"Mesenteric swirl is the best indicator of internal hernia after laparoscopic Roux-en-Y gastric bypass, and even minor degrees of swirl should be considered suspicious.",RCT
0,24825486,"Methylphenidate may lead to a reduction in concurrent methamphetamine use when provided as treatment for patients undergoing behavioral support for moderate to severe methamphetamine use disorder, but this requires confirmation.",RCT
2,26058106,MI can be recommended in clinical practice for screening IR in NAFLD patients for further in-depth examination.,RCT
1,29774642,Micropunch blepharopeeling can be considered as an acceptable procedure of upper eyelid rejuvenation mentioned by patients and physicians.,RCT
2,16336447,Midazolam should be administered at a dose of 0.06 mg/kg and the endoscopy should be initiated 30 s after midazolam injection for appropriate effects without any side-effects.,RCT
1,19389793,Mifepristone may offer an effective treatment option for women with uterine leiomyoma and the associated pronounced uterovaginal bleeding.,RCT
0,22079886,Mild-to-moderate kidney dysfunction is associated with a significantly elevated risk of VF in the setting of acute STEMI.,Case-Control
1,24898574,Minor RMT changes during rTMS treatment do not necessarily suggest the need for systematic re-examination of the RMT for safety and efficacy issues.,RCT
1,29167967,MIRACLE I results suggest that Embozene TANDEM microspheres loaded with doxorubicin can provide good local tumor control in a heterogeneous group of patients with locally untreatable HCC.,Prospective
1,21311184,MMF is effective for inducing remission in Chinese MPA patients and may represent an alternative therapy to monthly impulses of IVC.,RCT
0,28101555,Mobility is the most important predictive factor for living at home after geriatric rehabilitation.,Prospective
2,24778393,Modafinil had no effect on cancer-related fatigue and should not be prescribed outside a clinical trial setting.,RCT
1,30378768,"Modifying the home environment, specifically reducing RED foods and electronics, may be particularly important for FBT success.",RCT
2,22804104,"Monitoring for decreases in haemoglobin should be considered for all OA patients and especially those with an increased age, BMI, history of gastritis and GI intolerance, CRP levels >1\xc2\xa0mg/dL and/or positive H. pylori status, as this may affect their clinical management.",RCT
1,17536222,Montelukast can be useful in the prevention of LRs after specific immunotherapy.,RCT
0,25591163,More than a third of patients in the immediate preoperative period for colorectal cancer exhibited malnutrition.,Cross-Sectional
0,17512882,Most M3s lacked adequate fluid and electrolyte management competency.,Cross-Sectional
0,28315514,"Most of the eyes with CRVO had normal optic disc diameter, but about 25% of patients with CRVO have reduced optic disc dimensions.",Case-Control
0,26054849,Most of the processed foods had high or medium Na content.,Cross-Sectional
0,26911725,"Most students lack the necessary MHFA skills to support friends suffering from symptoms of depression, or to help them get appropriate support and prevent risk of harm.",RCT
1,25824259,"Moxifloxacin has an impressive spectrum of coverage and this pharmacokinetic study reinforces its potential as a prophylactic drug against intraocular infections, given the high aqueous levels post topical administration.",RCT
1,21679011,MPV could be a promising and easily available biomarker for monitoring of dietary adherence in CD patients at a low cost in comparison with other modalities.,Case-Control
1,23017636,MR data can be used to assess confounding bias unmeasured from HCU database.,RCT
2,20432351,MR imaging should be primarily performed in the preoperative detection of prostate cancer.,RCT
1,25833970,MRI allows the detailed characterization of the in vivo fate of lipid emulsions.,RCT
2,21898036,MRI should be regarded as the gold standard investigation for patients in whom a scaphoid fracture is suspected clinically.,Prospective
1,18063343,MS in outpatients with schizophrenia may be assessed by either the standard or the modified NCEP ATP III criteria without losing reliability.,Cross-Sectional
1,21029654,"MSCT allows a detailed assessment of the anatomy of congenital aortic anomaly, which can be used as an important supplementary method in diagnosing CHD and offer important information for operation.",RCT
1,18425074,MTA could be used as a safe medicament for pulpotomy in cariously exposed primary molars and could be a substitute for FC.,RCT
2,25951307,MTAD can be suggested as an alternative irrigant for pulpectomy of necrotic teeth.,RCT
0,25074646,MTHFR rs1801131 C allele and PEMT rs4646356 T allele were associated with a high risk of T2DM in these Han Chinese.,Case-Control
2,18835681,"Multilevel interventions that address individual, social, and environmental factors are necessary to improve substance abuse treatment retention and treatment outcomes among IDUs referred from NEP.",RCT
0,29502974,"Multiple trauma patients in need of transfusion who received fibrinogen along with packed cells had significantly better outcomes regarding mortality, sepsis, need for admission to the intensive care unit, need for receiving packed cells, need for receiving intravenous fluids in the initial 24h, and duration of hospitalization.",RCT
1,19411117,Music training program helps appreciation of music and may enhance their progress in other auditory domains after cochlear implantation in children.,Case-Control
0,22202544,"Music-induced attention shift during prostate biopsy may have a beneficial impact on procedural anxiety and pain perception, but no apparent effect was noted for use of headphones alone.",RCT
0,24169168,Mutations in the SDHB gene are associated with worse disease-free survival after resection in patients with carotid body paragangliomas despite earlier intervention.,Retrospective
0,9792589,Myocardial infarction occurs frequently in patients admitted to intensive care with GI hemorrhage.,Retrospective
0,23046564,n-3 PUFA supplementation ameliorates symptoms in elderly depression.,RCT
1,27621048,N2O/O2 decreased pain with in-office hysteroscopic sterilization compared to oral sedation and is an effective pain management option for this procedure.,RCT
0,19847079,Native valve endocarditis is the predominant type of endocarditis.,Retrospective
0,19861669,"Nearly 80% of the US population lives within 2 hours by ground or rotary air transport of a verified burn center; however, there is both state and regional variation in geographic access to these centers.",Cross-Sectional
1,20646715,"Nebulization with 5% hypertonic saline is safe, can be widely generalizable, and may be superior to current treatment for early outpatient treatment of bronchiolitis.",RCT
1,18154417,Needle-knife fistulotomy is safe and can be applied as an effective alternative to standard technique for common bile duct cannulation in expert hands.,RCT
0,20818904,Neoadjuvant chemotherapy followed by interval debulking surgery was not inferior to primary debulking surgery followed by chemotherapy as a treatment option for patients with bulky stage IIIC or IV ovarian carcinoma in this study.,RCT
2,27417659,"New mothers require help and reassurance independent of whether this is their first or subsequent child, reinforcing the need for support, breastfeeding information, and education about normal neonatal behavior.",RCT
0,23046591,"New NSAID use may predispose patients to AF, and the risk is almost doubled in heart failure patients.",RCT
1,17283875,New type of HES can partially substitute plasma and be used in fluid resuscitation for burn patients.,RCT
1,16338284,"Nicotine gum may be an efficacious harm-reduction alternative for smokers who are not ready to quit and may promote smoking cessation, the ultimate goal in the treatment of tobacco dependence.",RCT
0,23187987,"Nitrous oxide inhalation was preferable to injectable ketamine for pediatric patients because it is safe, allows for a faster recovery, maintains sufficient sedation time, and does not induce unnecessarily deep sedation.",RCT
1,22726566,NMES is a feasible and effective treatment to prevent quadriceps muscle strength derangement during severe exacerbations of COPD and may be used to compliment early post-exacerbation pulmonary rehabilitation.,RCT
2,20305868,No material can be recommended as superior in providing a reliable seal after 14 days.,RCT
0,21779779,Non detection of CGA at second trimester ultrasonography is a predictor of preterm delivery.,Prospective
0,17225977,Non-radical diagnostic biopsies do not negatively influence melanoma patient survival.,Prospective
0,21676511,"Nonsurgical treatment of mandibular condylar fractures leads to acceptable remodeling of the condylar process, good clinical long-term outcome, and minimal subjective symptoms in most children.",Prospective
0,27196067,"Normal parturient plasma shows a large intrinsic pathway reserve for TG compared to adult and cord plasma, while TG in cord plasma is sustained by extrinsic pathway, and low levels of TFPI and AT.",Case-Control
0,25513983,Obese and postmenopausal women have a high prevalence of NAFLD and severe metabolic disorders.,Cross-Sectional
0,28714768,Observation of a relationship between macronutrient intervention and sustained attention (if one exists) will require further standardization of empirical investigations to aid in the synthesis and replicability of results.,RCT
1,27101789,Octylcyanoacrylate tissue adhesive may be offered as an option for wound closure following breast surgery.,RCT
0,22837627,Ocular injuries are common when olives were harvested manually or with sticks.,Prospective
0,16830018,"Of the 4 methods studied, the optimal method to decrease the incidence and intensity of pain resulting from propofol injection is to inject lidocaine while applying venous occlusion for 60 seconds prior to administering propofol.",RCT
0,23808901,"Of the BRMs that are approved for indications within all four conditions studied, etanercept had the lowest cost per treated patient when assessed across all four conditions.",Retrospective
0,21629337,"Of the DM2 patients that attended the nephrology units, less than 20% achieved a tight BP control.",Cross-Sectional
0,16804924,"Of the involved sentinel nodes, 23% contained micrometastases and 16% submicrometastases.",Retrospective
0,18696383,Older driver motor vehicle crashes are not a significant threat to other road users in vehicles or as pedestrians.,Cross-Sectional
0,23046005,"On the basis of the results of this experiment, it can be concluded that 15 ml is perceived as the most comfortable volume.",RCT
1,25607552,"Once daily efinaconazole topical solution, 10% may provide a useful topical option in the treatment of diabetic patients with onychomycosis.",RCT
0,17151794,Oncoplastic surgery achieves more accurate tumor resection than standard quadrantectomy.,Prospective
0,19395948,One dose of LAIV provided clinically significant protection against influenza in young children previously unvaccinated against influenza; 2 doses provided additional protection.,RCT
0,23047989,One single dose of acetaminophen neither evokes a bronchoconstriction response nor an increase in airway inflammation in children with asthma.,RCT
2,28327693,"One year after treatment, both groups achieved similar clinical results; however, patients endodontically treated in a single visit suffered less postoperative pain and took less analgesics than patients treated in two visits, therefore a single-visit treatment should be recommended.",RCT
1,22029619,"Opioid switching performed in acute pain relief and palliative care is an effective method of improving the balance between analgesia and adverse effects, even for prolonged periods of time, following discharge to another setting of care.",Retrospective
1,21577010,Opipramol may be used as a premedication in the evening prior to surgery if the primary target is an impact on the experienced quality of sleep.,RCT
1,29866147,Oral administration of Actitan F associated with SOR seems safe and effective treatment in shortening the duration of AG in children.,RCT
0,21490024,Oral analgesia with OOXY after THR offers non-inferior analgesia to IVPCA and may offer some logistical and cost advantages.,RCT
1,17233365,Oral ketamine may be used to reduce postoperative pain following orthopedic procedures in the traumatic patients.,RCT
0,25592054,OSI correlates significantly with OI in infants with HRF.,Retrospective
0,23078574,"Our data do not indicate a consistent effect of caffeinated coffee consumption on SHBG in men or women, however results should be interpreted with caution given the small sample size.",RCT
0,12194079,"Our data reveal no contraindication against the use of corneal grafts derived from septic donors, critical graft assessment in organ culture provided.",Retrospective
0,11058674,"Our data suggest that depression, anxiety, hostility, and stress are not related to coronary-artery calcification and that somatization is associated with the absence of calcification.",Prospective
2,24745852,"Our data suggest that when performing spinal anaesthesia in pregnant patients, if the intercristal line intersects an intervertebral space then the space below should be chosen and if the intercristal line intersects a spinous process then the interspace below should be chosen.",RCT
0,17525841,Our findings demonstrate that oxygen extraction rate is the major factor in the difference between S(v)O(2) and S(cv)O(2).,Prospective
1,28223031,Our findings provide additional evidence of differential effects of three sparing-prolactin antipsychotics on prolactin release and may help clinicians to decide among therapeutic options.,RCT
1,25607509,"Our findings provide important clues as to the underlying molecular mechanism behind gastric mucosal injury resulting from exposure to LDA in elderly adults, and also suggest that interventions specifically targeting the pathways associated with angiogenesis and apoptosis may help facilitate the healing process.",RCT
1,26410354,Our findings provide strong evidence that targeting NMDA receptors can be a safe and effective treatment for RTT.,RCT
0,25800475,Our findings revealed that girls with PA have higher body weight and height for age values.,Case-Control
0,20521875,Our findings should encourage future research on the possibility of amelioration of attention difficulties in patients suffering from ADHD by using high frequency rTMS directed to the right dorsolateral prefrontal cortex.,RCT
1,17907238,Our findings suggest that activity programs with or without an aerobic training component are safe and may result in an important improvement in physical function.,RCT
0,20362301,"Our findings suggest that food selectivity is more common in children with ASDs than in typically developing children, and that a limited food repertoire may be associated with nutrient inadequacies.",Case-Control
2,24238118,"Our findings suggest that the interventions should be broadly acceptable to both GPs and patients, as well as feasible to roll out more widely across Europe.",RCT
0,22210296,Our findings suggest that the polymorphism of metalloproteinases-1 might have a role in mediating susceptibility to pelvic organ prolapse.,Case-Control
1,26873052,Our findings support early 2-dose MV to provide measles immunity for young infants without risk of interference with antibody responses to subsequent MV doses administered as part of SIAs.,RCT
1,25555154,Our findings support the importance of individual differences in personality on therapy outcomes.,RCT
1,24252845,"Our findings validate the O3I as a biomarker of EPA+DHA consumption and identify additional factors, particularly body weight, that can be used to tailor EPA+DHA recommendations to achieve a target O3I.",RCT
0,24166470,"Our interim analysis showed that elective repair of subclinical stenosis in AVFs with Qa > 500 mL/min cost-effectively reduces the risk of thrombosis and access loss in comparison with the approach of the Kidney Disease Outcomes Quality Initiative (KDOQI) guidelines, raising the question of whether the currently recommended criteria for assessing and treating stenosis should be reconsidered.",RCT
0,29108022,"Our observations highlight the high level of vulnerability for HIV acquisition of both poor professional ""kata"" and nonprofessional ""street vendor"" FSW categories.",Cross-Sectional
1,22066973,Our observations suggest that tramadol seems to be a safe alternative to fentanyl for labor analgesia due to its similar analgesic efficacy.,RCT
1,22580800,Our preliminary experience with the Penumbra mechanical thrombolysis system confirms previously reported results showing the efficacy and safety of the device in treating acute stroke caused by the occlusion of large intracranial vessels.,Retrospective
0,22999070,Our results demonstrate preliminary evidence that hs-CRP might contribute to the risk of cardiovascular disease in depressed patients without somatic diseases via its association with platelet expression of CD40L.,Case-Control
1,23705968,Our results demonstrate that high intensity exercise interventions may be used in the school setting for adolescents as a means of improving measures of physical fitness.,RCT
0,23046107,Our results demonstrate the existence of a progestogenic vasoconstrictive effect in the ophthalmic and central retinal arteries.,RCT
1,24934276,"Our results demonstrate the utility of eQTL mapping in the identification of novel asthma genes and provide evidence for the importance of FADS2, NAGA, and F13A1 in the pathogenesis of asthma.",RCT
1,26178888,Our results demonstrated the noninferiority of in-home telerehabilitation and support its use as an effective alternative to face-to-face service delivery after hospital discharge of patients following a total knee arthroplasty.,RCT
0,26407357,Our results identified barriers to PPE use and targets for education to prevent pertussis transmission in ambulatory pediatric settings.,RCT
1,26610167,Our results indicate that DET merits further research and may be an alternative to established treatments for PTSD.,RCT
1,18069117,Our results indicate that for a 12-mo period PVP is a highly acceptable treatment alternative to OP.,RCT
0,19861328,"Our results indicate that oocyte vitrification procedure followed by ICSI is not inferior to fresh insemination procedure, with regard to fertilization and embryo developmental rates.",RCT
1,24645632,"Our results provide information on shared environmental and genetic risk factors for first and later cancers and may help to identify individuals at high risk for subsequent cancers, which will be important as skin cancer incidence continues to rise.",RCT
1,21256445,Our results provide some support for the utility of plyometrics as an intervention to correct altered neuromotor control in those triathletes in which it is aberrant.,RCT
1,29614679,Our results provide support for the use of AS as a dietary supplementation for improving cognitive functions.,RCT
0,15249362,Our results show that retinal photocoagulation in patients with branch vein occlusion has a vasoconstrictive effect on occluded veins.,Prospective
0,12479637,Our results show that the nature of drug-induced gingival overgrowth differs somewhat between immunosuppressive and nifedipine medications.,Case-Control
2,19095215,Our results show the feasibility and need to remove enough lymph nodes to provide precise prognostic information and adequate local control.,RCT
0,25879594,Our results showed the efficacy and safety of percutaneous ablation treatments which were better than those of surgical treatment in patients with small hepatocellular carcinoma.,Retrospective
0,23046438,Our results suggested that oral administration of BCACs may induce a beneficial decrease in IOP levels in healthy subjects as well as in patients with glaucoma.,RCT
1,24009162,Our results support behavioral interventions targeting lifestyle physical activity as an alternative approach for managing symptoms in MS.,RCT
0,20504298,"Our results support the assumption of non-inferiority of ibuprofen compared to ciprofloxacin for treatment of symptomatic uncomplicated UTI, but need confirmation by further trials.",RCT
1,27620899,Our results support the importance of assessing the potential development of NAFLD in schizophrenia spectrum patients receiving antipsychotic medication.,RCT
1,25385166,"Our results support the use of a supervised core-strengthening programme over a home-based programme to maximise improvements in core stability, especially in its dynamic aspects.",RCT
1,16911328,"Our study demonstrates that live 3DE, easily performed at the bedside, provides incremental information on patients with a variety of congenital heart lesions.",Prospective
1,22456263,"Our study demonstrates that this bedside technology may be helpful in identifying HF and its phenotypes, especially when echocardiography is not immediately available.",RCT
0,20558918,Our study findings suggest that the results of peroral administration of LVFX for the prevention of post-procedure infectious complications in patients receiving TACE/TAI for HCC are not inferior to those of intravenous administration of CEZ.,RCT
0,23096513,Our study found similar early and mid-term clinical outcomes for patients undergoing SIMA plus saphenous vein grafting and those undergoing BIMA plus saphenous vein grafting for multivessel coronary artery bypass grafting.,Retrospective
1,29975291,Our study is the first to compare survival outcomes of HIPEC versus conventional therapies for recurrent US and is suggestive of treatment benefit.,Retrospective
0,25940805,"Our study reveals a 4.6% annual increase in ED demand in WA in 2007-2013, mostly because of an increase in people with urgent and complex care needs, and not a shift (demand transfer) from primary care.",Retrospective
0,22402954,Our study showed that supplementation with vitamin C (2 g) po decreased morphine consumption in the postoperative period in patients undergoing laparoscopic cholecystectomy.,RCT
0,17496532,Our study shows an impact for only a limited number of brain dead donor resuscitation parameters on DGF duration.,Retrospective
1,27382274,"Our study shows that the implementation of a POC PCT-guided algorithm can be used to substantially reduce antibiotic exposure in patients hospitalized with AECOPD, with no apparent harm.",RCT
2,24512656,Our study suggests that LTD should be considered when making the decision of which IUD model to use.,RCT
2,30468530,"Our study, confirms previous observations that UVA1 phototherapy should be considered among the first approaches in the treatment of patients with severe generalized AD and also demonstrates that in darker skin types, high dose UVA1 phototherapy is more effective than medium dose in the treatment of adult patients with severe AD.",RCT
1,20119736,Our technique can be safely and effectively used for SITU laparoscopic bariatric surgery.,Prospective
